task,coder3,coder2,coder1
"university of california, san diego to construct new eleanor roosevelt college  on 16-acre part of ucsd campus including 970-space 5-level parking structure, housing for l,238 students in 16 four-story buildings, classroom and administrative building, student dining facility, removal of surface parking lots, closure of eastern segment of salk institute road, new access road , traffic improvements, signal light at scholars drive and 160,000 cu.yds. of grading, at north torrey pines road and salk institute road, la jolla, san diego, san diego county.  ",2,2,2
"city of san diego to clean out and repair 6.14 miles of existing sewer pipes at 62 manholes along existing lopez canyon trunk sewer in los penasquitos canyon preserve, north city, san diego, san diego county.  ",8,8,8
"the lee group, inc. for seven 41-ft-high single-family homes on seven lots, and landscaping & public improvements in union jack mall, at 127, 131, 135, 139, 143, 147 and 151 union jack mall, venice, los angeles, los angeles county.  ",1,1,1
"neaptide investments for 7½-ft-high masonry block wall in public right-of-way, at 16 paloma avenue, venice, los angeles, los angeles county.  ",4,4,4
"alan austin for 3-story 5,500 sq.ft. single-family home and septic system, with 563 cu.yds. of grading, at 3644 serra road, malibu, los angeles county.  ",1,1,1
"jean & claudie perramon for 100' long 10' high retaining wall on piles to support existing single-family home, at 2736 rambla pacifico drive, near malibu, los angeles county.  ",5,5,5
"t-mobile usa, inc. for wireless telecommunication facility including 12 antennas on 55-ft-high monopole and 160 sq.ft. equipment building at base of pole, at interstate-5  at aliso creek rest stop, camp pendleton, san diego county.  ",11,11,11
"cosimo pizzulli for two 6- to 12-ft-high retaining walls, each 110 feet long, with 990 cu.yds. of fill, to protect canyon next to existing single-family home, at 560 marquette street, pacific palisades, los angeles, los angeles county.  ",5,5,5
"paul casanova to demolish 3,752 sq.ft. single-family home & detached 580 sq.ft. garage, and construct 4,569 sq.ft. 14-ft-high single-family home with attached 962 sq.ft. garage on terraced coastal blufftop lot, at 4533 brighton road, corona del mar, newport beach, orange county.   ",1,1,1
"del norte veterans monument committee and the city of crescent city to construct monument celebrating veterans' service, within beach front park near intersection of hwy 101 and front st., crescent city, del norte county.   ",11,11,11
"mike turk to demolish four homes and construct 30-ft-high 4,741 sq.ft. triplex with 6 parking spaces, on 4,325 sq.ft. oceanfront lot, at 702-710 monterey court, mission beach, san diego, san diego county.  ",2,2,2
"tim & lois martin to demolish 1,674 sq.ft. 2-story single-family home & attached garage, and remove one oak tree, to facilitate new 1,800 sq.ft. 2-story single-family home with garage, on 5th avenue , carmel, monterey county.  ",1,1,1
"malibu encinal homeowners association and michael & mary wilson for 14-ft-high by 27-ft-wide by 90-ft-long rock riprap revetment with 300 cu.yds. of backfill to fill 23-ft-high by 16-ft-wide by 90-ft-long area between revetment and seaward edge of east sea level drive at two vacant lots east of 31626 east sea level drive, malibu, los angeles county  ",6,6,6
"orange county humane society to remodel and convert 1,840 sq.ft. office to animal clinic with no overnight boarding of animals, at 2630 avon street, newport beach, orange county. .  ",2,2,2
california dept. of parks & recreation for one longhouse,11,11,11
"city of san diego-metropolitan wastewater dept. to install 8,250-ft. of new dual 14-in. sewer force main within el camino real and san dieguito drive and 1,200-ft. of new 12-in. water main within old el camino real, within the southern end of san dieguito river valley, north city, san diego, san diego county.  ",8,4,8
"gerhardt & barbara j. rohrbach to replace culvert with new 18-inch-diameter 20-ft-long culvert, at 2588 spears road, near eureka, humboldt county.  ",7,7,7
"city of san diego metropolitan wastewater department to grade and add asphalt overlay to widen part of entrance road to city sewage treatment plant, and install drainage improvements, at gatchell road from cabrillo drive to treatment plant, peninsula, san diego, san diego county.   ",11,8,8
"riviera pacific, llc to remodel 8,665 sq.ft., legal non-conforming 4-unit, 3-story, structure located on 5,104 sq. ft. bayfront lot, including various interior and exterior renovations, landscaping modifications, partial reconfiguration of existing roof, and demolition of 36 percent of exterior walls, reducing total existing square footage by 125 sq. feet, at 3726 riviera drive, pacific beach, san diego, san diego county.  ",2,2,2
"california dept. of parks and recreation to  install automated pay machines  and implement automated fee payment program at 5 locations: reef point, pelican point, los trancos, moro day use and moro campground parking lots;  retain flat-rate of $15 per day year-round;  establish new rate of $20 a day on summer holidays, memorial day, july 4th, and labor day;  offer hourly rate of $5 monday through friday. in most cases, no hourly rates are proposed for the summer holidays or weekends at 8471 pacific coast highway, laguna beach, orange county.  ",11,11,11
"arcata readimix to extract up to 150,000 cu.yds. of sand & gravel per year from singley bar on the eel river, west of highway 101, northwest of fernbridge, humboldt county.  ",7,7,7
"bob & eileen helper and nikolaus & maria schoenberger to adjust lot line between two lots to create lots of 1.75 & 2.43 acres, construct 1-story 5,451 sq.ft. single-family home, 3-car garage, retaining walls, pool & spa, fence, and septic system, with 502 cu.yds. of grading, at 29725 pacific coast highway and 29732 baden place, malibu, los angeles county.   ",1,1,1
"ellen geer to remodel & upgrade existing 99-seat outdoor theatre, install platform bench seating, performance deck & sound fence, construct two handicap parking spaces, ada access ramps & 6-ft sound fence along topanga canyon blvd., with no grading, at 1455 n. topanga canyon blvd., topanga, los angeles county.  ",2,2,2
"university of california, san diego for 1,050 sq.ft. roofed enclosure for storage of hazardous waste materials on a scripps institution oceanfront site, at 297 rosecrans street, peninsula, san diego, san diego county.  ",2,11,2
"barry kinyon to create lot, at 24700 block of west saddle peak road, santa monica mountains, los angeles county.  ",10,2,10
"jeffrey gordon to demolish one-story, 880 sq. ft., single-family residence and accessory structure, and construct two-story, 27-ft. high, 2,631 sq. ft. single-family residence on 4,232 sq. ft. lot, at 205 bernard ave, venice, los angeles, los angeles county.  ",1,1,1
"mark staniland to replace six wood piles with steel piles on existing pier, at #3 gunther  island, eureka, humboldt county.  ",3,3,3
"california department of transportation to remove 7 eucalyptus trees at southern end of windrow along railroad corridor adjacent to u.s. highway 101 to increase flight clearance associated with humboldt county's murray field airport, near shoreline of humboldt bay, between railroad corridor and u.s. highway 101, near murray field airport, humboldt county.  ",11,9,9
"city of ferndale to upgrade wastewater treatment facility  to meet water quality and wastewater discharge standards, at port kenyon road between market & california streets, ferndale, humboldt county.  ",5,8,8
"armando sivilla to demolish one-story, 848 sq. ft., single-family residence on 2,700 sq. ft. lot, and construct three-level, 30-ft. high, 2,441 sq. ft. duplex with an attached four-car garage, at 2411 ocean ave, venice, los angeles, los angeles county.  ",1,1,1
"sprint pcs for unmanned telecommunications facility to include 9 panel antennas mounted on 35-ft-high pole  and five equipment cabinets placed in 372 sq.ft. enclosure in parking lot of del mar fairgrounds, at 2260 jimmy durante blvd., del mar, san diego county.   ",11,11,11
"mary ysordia to demolish 1,085 sq.ft. single-family home, and construct 2,595 sq.ft. 14-ft-high single-family home, 3,000 gallon water tank, septic system, and driveway, with 898 cu.yds. of grading, at 33439 west mulholland highway, malibu, los angeles county.  ",1,1,1
"gary & maurine ford for 2-story 6,280 sq.ft. single-family home, attached 537 sq.ft. garage, detached 567 sq.ft. garage with 378 sq.ft. rec room above, 250 sq.ft. pool house, swimming pool & spa, septic system and 275 cu.yds. of excavation, at 2063 delphine lane, calabasas, los angeles county.  ",1,1,1
"san clemente beaches, parks & recreation department to repair beach access road, place 210 cu.yds. of compacted decomposed granite within 310 x 14 footprint and replace 200 linear feet of security fence, at sandy beach south of t-street overpass and seaward of octa railroad tracks, san clemente, orange county.  ",11,11,11
"NA5-01-63  balboa inn, l.l.c. granted permit with conditions to demolish 1-story store, storage building, swimming pool & stairway from existing bridge, and construct building with 20 tandem parking spaces and shops on 1st floor and 11-room addition to existing balboa inn on 2nd & 3rd floors, at 707 east ocean front, newport beach, orange county.  ",2,2,2
"city of hermosa beach for streetscape and drainage improvements, including redesigning parking layout, improving pedestrian crossings, bicycle lane, landscaped median, landscaping with drought tolerant and non-invasive plantings, street furniture, public art, water infiltration, and water reclamation for irrigation, at pier avenue between valley drive and hermosa ave, hermosa beach, los angeles county.  ",11,11,11
"sarah lulloff & rachelle adler for 2-story 6,710 sq.ft. single-family home, attached 790 sq.ft. garage, detached 460 sq.ft. recreation building, driveway, 6-ft-high fences, swimming pool & spa, septic system and 225 cu.yds. of excavation, at 25030 abercrombie lane, calabasas, los angeles county.  ",1,1,1
ocean institute to replace dock  in same location with larger dock  secured by ten 20,3,3,3
cristina morgan for two 12,3,3,3
"padriac i. hannon to legalize lot, and construct 2,365.5 sq.ft. 35-ft-high single-family home, septic system, driveway, and attached 2-car carport, with 10 cu.yds. of grading, at 2117 las flores canyon road, malibu, los angeles county.  ",1,1,1
"john cencak to demolish 1-story single-family home, construct 35-ft-high 2,648 sq.ft. single-family home with 280 sq.ft. of decks & attached 415 sq.ft. garage, and re-subdivide lot to move beachfront lot line 1.7 feet seaward and street-front lot line 0.40 feet seaward, at a-15 surfside drive, seal beach, orange county.  ",1,1,1
"james w. dunn, jr. to remove 144 sq.ft. 2nd floor balcony and construct 312 sq.ft. 2nd floor balcony on oceanfront side of single-family home, at 516 ocean avenue, seal beach, orange county.  ",1,4,1
"mark s. maron for gazebo and 525 sq.ft. addition to existing single-family home on 24,760 sq.ft. lot at 1490 bienveneda avenue, and swimming pool, spa, pool house, tennis court, landscaping, retaining wall & 388 cu.yds. of grading on 25,650 sq.ft. lot at 1502 bienveneda avenue, pacific palisades, los angeles, los angeles county.   ",1,1,1
"patrick a. williams & stephanie mckinney williams to:  adjust boundary between two adjoining parcels by shifting property line roughly 40 ft. onto parcel 1 to add approximately 3,082 sq. ft. of area to parcel 2; and  construct an approximately 2,300 sq. ft., two-story, single-family residence and attached garage at 1664 victor boulevard, arcata, humboldt county.  ",1,1,1
"el morro investment co. to remove 550-gallon underground fuel tank at maintenance yard next to el morro mobile home park, at 8811 north coast highway, laguna beach, orange county.  ",12,12,12
"caltrans to remove maintenance walkways and bridge railing from highway 101 northbound and southbound eureka slough bridges, install type 27 solid bridge railing, restripe bridge deck, and relocate water line, at eureka slough, north end of eureka, humboldt county.  ",11,11,11
"san diego county department of parks & recreation to construct 486 foot long elevated boardwalk & 100 sq.ft. resting platform, and resurface 400 ft. of dirt trail with decomposed granite and new wood border, on existing dirt trail at san elijo lagoon ecological reserve , 2710 manchester avenue, cardiff, encinitas, san diego county.  ",11,11,11
"curtis & nancy fleming add 158 sq.ft. on bluffward side of 1-story single-family home with attached 2-car garage, at 1824 galaxy, newport beach, orange county.  ",1,1,1
"dennis & susan capilouto to replace & remodel 1st, 2nd and 3rd floor decks on north side & oceanfront of existing single-family home, replace brick walkway along south side yard, remove & replace south side yard property line wall, replace 2 posts, and construct 18",4,4,4
"los angeles county dept. of public works to repair roadway and construct bioengineered slope protection over 3,900 sq.ft. area with 15 in. to 48 in. diameter rocks at toe of slope along tuna canyon creek with willows planted in cardboard tubes within the bioengineered slope, located along 70-ft. long section of tuna canyon road, at mile marker 5.04, santa monica mountains, los angeles county.  ",5,5,5
"clarence t. schmitz for 17½-ft-high 750 sq.ft. detached guesthouse, new 1,000-gallon septic tank with seepage pit, 275 sq.ft. outdoor patio, with trellis and 151 cu.yds. of cut, on lot with 8,936 sq.ft. single-family home & attached garage, at 31751 pacific coast highway in malibu, los angeles county.  ",1,1,1
"redwood development to construct shoreline storm-drain outfall  atop existing rock-riprap, and add rock riprap  around outfall, at 1000 highway 1, bodega bay, sonoma county.   ",7,7,7
"william e. & nancy j. callahan to demolish 988 sq.ft. single-family home & detached garage to facilitate 2-story 1,800 sq.ft. single-family home, on 4,000 sq.ft. lot, on east side of torres , carmel, monterey county.  ",1,1,1
"seaworld san diego for miscellaneous improvements to park facility to include, expansion of first aid station, 600 sq.ft. shamu photo opportunity building, l,920 sq.ft. paved area for 28-ft-high climbing wall and bungee trampolines, and temporary show set  for 45-ft-high ski flier ramp, at 500 sea world drive, mission bay park, san diego, san diego county.  ",2,2,2
"mark cragun to grade site and install caisson shoring/retaining walls and construct 4,976 sq. ft., 32.5 ft. high , single family residence including offer to dedicate 2 ft. wide public access easement with sidewalk at property line along boca del canon, and construct sidewalk along property frontage within la rambla public right-of-way, at 319 la rambla, san clemente, orange county.  ",5,1,1
"mark & lori rappaport for 7,302 sq.ft. single-family home, barn and new septic system on four acre lot with existing 2,729 sq.ft. single-family home, at 4912 linea del cielo, rancho santa fe, san diego county.   ",1,1,1
"kevin weeda to combine two lots into one and construct 2,787 sq.ft. office building with 12 parking spaces & no grading, at 411 & 413 - 30th street, newport beach, orange county.  ",2,2,2
"city of carlsbad public works/engineering dept. to demolish lift station, sewer line and support bridge, and install new sewer trunk line , sewer lift station, and sewer support bridge  located west of railroad right-of-way and adjacent to and crossing agua hedionda lagoon, carlsbad, san diego county.  ",8,8,8
"farmer, ltd for complete interior remodel including replacement of windows and doors and new insulation of existing 1,218 sq.ft. single family home and construction of 20 x 20 and 12 ft.-tall, two-vehicle wood carport and new driveway along frontage road for carport access. no grading or landscaping is proposed, at 17016 7th street, sunset beach, orange county.  ",1,1,1
"pebble beach company for two concrete seawalls with steel tiebacks and artificial stone fascia at base of coastal bluff to protect 5th tee  and 5th green , at 5th hole @ pebble beach golf links, pebble beach, monterey county.  ",6,6,6
"mr & mrs p. koral for 18-ft-high 6,346 sq.ft. single-family home, attached garage, pool & spa, septic system, and 425 cu.yds. of excavation for pool & basement, to replace home, at 22516 carbon mesa road, malibu, los angeles county.   ",1,1,1
"city of avalon for concrete public stairway with handrail down existing rock embankment into water at casino shoreline drive park, #1 casino way, avalon, los angeles county.  ",11,11,11
"shawn and erin woolf to demolish 427 sq.ft. single-story home and 215 sq.ft. storage building and construct 1,374 sq.ft., 30-ft. high, 3-story home with attached 321 sq.ft. garage on 1,250 sq.ft. lot at 724 verona court, mission beach, san diego, san diego county.   ",1,1,1
"beach house restaurant to import 20 5-ton stones to be placed on riprap revetment and relocate dislodged stones from beach to revetment, on beach seaward of existing restaurant, at 2530 south highway 101, cardiff, encinitas, san diego county.  ",6,6,6
"san diego symphony for temporary improvements for \summer pops concerts\"" to include up to 5,000 capacity outdoor theatre, fencing, food/beverage booths and stage, to remain from may - november 1996, at 2510 quivira court , mission bay park, san diego, san diego county.   """,11,11,11
"city of santa barbara to grade, compact and maintain 123 acres of airport runway safety area, and implement wetland mitigation plan  at santa barbara municipal airport, 601 firestone road, goleta, santa barbara county.  ",9,5,9
"los angeles unified school district to construct 810 seat high school with 30 classrooms, administrative offices, gymnasium, amphitheater, sports fields, wind turbines, and 193 on-site parking spaces, at 3210 south alma, san pedro, los angeles county.  ",2,2,2
"newport beach country club & fainbarg-feuerstein properties to demolish 23,460 sq.ft. golf course clubhouse, ancillary facilities and surface parking lot and construct new 69,088 sq.ft. facility including 2-story, 47-ft. tall clubhouse, detached golf cart garage, maintenance building, snack bar, starter shack, restrooms, hardscape improvements to existing surface parking lot, and new landscaping on 131.5 acre site, at 1600 e. coast highway, newport beach, orange county.  ",2,2,2
mr & mrs david cermak to repair and maintain revetment  on bluffs seaward of 2-2750 east cliff drive along 26th avenue beach in live oak beach area of santa cruz county.  ,6,6,6
"alan kapilow to remodel 2-story single family residence from 2,501 sq. ft. to 2,921 sq. ft, 25-ft-high, single family residence with attached 2-cargarage on canal-fronting lot, at 2919 grand canal, venice, los angeles, los angeles county.  ",1,1,1
"NAe-08-021 & consistency certification no. cc-005-09  application and consistency certification by at&t corporation to construct and operate asia america gateway fiber optic cable project, including installation of two terrestrial fiber optic and power cables within existing underground conduit which extends from cable station 1.8 mi. inland of coastal zone boundary at los osos valley road southwest of san luis obispo, westward through montana de oro state park to existing cable landing manhole in sandspit beach parking lot. here a combined fiber/power marine cable will be installed through an existing conduit to a point 0.8 miles offshore. from this location, the cable will be buried under the seafloor at a depth of approximately 1.3 ft.  out to the edge of the continental shelf, 50 mi. offshore at a water depth of 6,000 ft.  ",11,11,11
"san luis obispo county engineering dept. for wastewater treatment system to serve limited areas of the los osos and baywood communities, including collection & pumping system, treatment plant at southeast corner of south bay boulevard & pismo street, and effluent disposal system 500 ft. south of highland drive between extensions of broderson & doris drives, in south bay urban area of estero planning area, san luis obispo county.  ",8,8,8
"ulrich grill to demolish one-story, 865 sq. ft., single-family residence on 2,700 sq. ft. lot, and construct three-level, 30-ft. high , 3,177 sq. ft. duplex with four on-site parking stalls, at 2423 s ocean ave, venice, los angeles, los angeles county.  ",1,1,1
"ceres, inc., for 3,456 sq.ft. 18-ft-high research greenhouse , at 3011 malibu canyon road, malibu, los angeles county.  ",2,2,2
"scott & joanne mednick to construct 1,641 sq.ft. 1-story addition with basement, 3-car garage, and new septic tank for existing 7,955 sq.ft. single-family home, paint home \earth-tone\"" color, install landscaping, and convert driveway to semi-permeable \""grass-crete\"", with 325 cu.yds. of grading, at 32537 pacific coast highway, malibu, los angeles county.  """,1,1,1
"california dept. of transportation for mitigation bank agreement pursuant to condition of permit to restore 6 acres of wetland and 37 acres of riparian habitat by removing parts of levee along south bank of lower carmel river and along east side of carmel river lagoon, excavating sediment from south arm of carmel river lagoon, landscaping with native vegetation, and constructing berm to protect adjacent agriculture at \odello west\"" part of carmel river state beach, seaward of highway one bridge over carmel river, 0.9 mile south of carmel, monterey county. . """,9,9,9
"mr. abdullah al battal to remove dock, gangway, pier and piles and replace with: new 12 ft. x 30 ft. dock with two  new 14 in. diameter concrete piles; new 4 ft. x 24 ft. gangway; and new 12 ft. x 14 ft. pier with two  new 14 in. diameter concrete piles and two  existing piles. the dock will also include grated floor panels. the dock system will be composed of douglas fir and trex decking, at 2258 channel road, newport beach, orange county.  ",3,3,3
"san diego county regional airport authority to upgrade instrument approach for aircraft including removal & reinstallation of electronics and antenna on east & west ends of main runway, and install engineered material arresting system, crushable material to stop aircraft that have overrun runway, at west end of runway, at san diego international airport, san diego, san diego county.  ",11,11,11
"city of long beach, department of parks, recreation, and marine for colorado lagoon restoration project, which includes: 1) dredge and remove 32,500 cu.yds. of contaminated sediments, 2) re-contour lagoon banks, 3) divert storm drains, construct two bioswales, and install other water quality improvements, 4) clean tidal culvert between lagoon and marine stadium ; 5) demolish northern paved parking lot, access road and restroom, 6) landscape park with native plants, 7) construct public access trails, and 8) construct observation pier with thirty piles, at 5119 e. colorado street, long beach, los angeles county.  ",7,9,7
"los angeles county department of public works to remediate landslide with 3,700 cu.yds. of grading for removal and recompaction, replacement of 165-ft-long 24-in-diameter steel drainage pipe, and installation of dewatering system, at mile marker 1.93 rambla pacifico road, malibu, los angeles county.  ",7,5,7
"california department of parks and recreation to restore sepulveda adobe, including interior remodel and construction of ada compliant improvements, restoration of accessory structures including cistern, tank house, and historic well, planting of native trees and other vegetation, install benches, picnic tables, and interpretive displays, replace fencing, construct 260 linear ft. of 24-ft. wide permeable material access road from mulholland highway, construct 455-ft. long, 3-ft. wide permeable trail segment near access road, construct 625 linear ft. of 2 in. pvc water line, and install entrance and trail crossing signage at mulholland highway approximately 500 ft. west of las virgenes road, santa monica mountains, los angeles county.  ",11,11,11
"hiwad abedi & mehnaz hashemyar to construct 2-story, 28-ft. high, 6,025 sq.ft. single family home, 675 sq.ft. guest house above 700 sq.ft. gym, and 641 sq.ft., 3-car garage, 1,388 sq.ft. decks and balconies, pool, spa, pond, gazebo, driveway, septic system, retaining walls, 150 cu.yds. of cut, 340 cu.yds. of fill, at lot 7, tract 38931, piuma road east of woodbluff road, calabasas, los angeles county.  ",1,1,1
"paul & jeanette sivas to demolish 1664 sq.ft. 1-story single-family home to facilitate new home, at southwest corner of ocean & san antonio, carmel, monterey county.  ",1,1,1
"bruce demaree, daniel & raymond hamel, glenn & beverly stuart, kerry casey, bay area financial corporation, donald spanninga, beverly merrill, jeffrey quick, donald rady, jean cheng, california beach properties, raymond homan, oceanic gardens hoa, scott clifton, ocean front walk, l.l.c., katherine ross, ara ketenjian, irving & florence rawdin, ocean west homeowners association & jack melroy for decorative walls and planters up to 3-ft-high on seaward side of beachfront homes from ventura place to santa barbara place, at 3205, 3209, 3211, 3213, 3215, 3217, 3219, 3221, 3225, 3233, 3237, 3239, 3243, 3261, 3249, 3263, 3275, 3281, 3285, 3285#6 ocean front lane, mission beach, san diego, san diego county.   ",4,4,4
"don felder for tennis court, trellis pavilion, 1602 sq.ft. barn/tack room/gardeners shed, retaining walls, and 1000 cu.yds. of grading, at 6300 ramirez canyon rd., malibu, los angeles county.  ",1,1,1
"at&t mobility for after-the-fact approval of 2 panel antennas and 1 gps antenna on existing 26-ft.high utility pole, and permanent unmanned ground-mounted wireless telecommunications facility, including 30 sq.ft. concrete pad, and 10-ft. long retaining wall, 16.25",11,11,11
"yong kingslow to construct 2-story, 27-ft. tall, 2,280-sq. ft. single family home with attached garage, septic system, auto court, pool, retaining walls, landscaping, and 710 cu. yds. of grading  including removal of 174 linear ft. perimeter fence and 408 sq. ft. solar panel array on southwestern portion of property, at 330 costa del sol way, los angeles county.  ",1,1,1
"john abell iv & carol helou to install 10'x17' pier and pier platform, 3.5'x24' gangway, 22'10' floating dock, and 1, 16-in. pile and 2, 12-in. piles, at 2222 channel rd., newport beach, orange county.  ",3,3,3
"california dept. of parks & recreation to place 12 \vehicles prohibited\"" signs at little river state beach to delineate boundaries and enforce existing regulations regarding vehicle use, 3 \""state park property\"" on existing sign posts along frontage road, and 2 unit signs on east side of frontage road, at little river state beach, mckinleyville, humboldt county.   """,11,11,11
"crescent city harbor district to construct 4,000-ft. long segment of california coastal trail through harbor area connecting sunset circle to south beach and install interpretive and directional signs, at crescent city harbor, sunset circle to anchor way, crescent city, del norte county.  ",11,11,11
"rodney miles & gary cohn for 3 story 30-unit motel with 35-space underground garage, at ocean avenue & \e\"" street , cayucos, san luis obispo county.   """,2,2,2
"roger & doriana richman for 1,600 sq.ft. barn & tackroom, 96 sq.ft. hay shed, 144 sq.ft. concrete pad, 6-ft-high retaining walls, horse riding arena, with 980 cu.yds. of grading, and new swimming pool with 480 cu.yds. of grading, at 6140 cavalleri road, malibu, los angeles county.  ",1,1,1
"california dept. of parks and recreation to install one automated pay machine  and implement flexible fee collection program at entrance to doheny state beach to replace or augment existing manned kiosk, utilizing combination of hourly and flat daily rates; also monitoring to include collection of data from fee collection program to demonstrate how parking fees and discount parking opportunities affect public use and revenue collection, at doheny state beach, 25300 dana point harbor drive, dana point, orange county.  ",11,11,11
"john c. nickel for 2,897 sq.ft. house, attached 436 sq.ft. garage, concrete drive, two wood decks overlooking seadrift lagoon and sand filter septic system, on 11,865 sq.ft. lot, at 23 dipsea road , stinson beach, marin county.  ",1,1,1
"seto family trust to change mobile home park to r.v. park, make various improvements at albion river campground, including new electrical & water supply lines, replace and repair existing utilities to 18 r.v. spaces, repair sewage disposal system, and demolish dilapidated mobile homes, at 33800 north albion road, albion flat, mendocino county.  ",2,2,2
"e.j. williams to construct multi-story home with cantilevered upper story atop concrete caissons on small back beach area seaward of east cliff drive at 26th avenue beach fronting moran lake county park in pleasure point area of live oak beach, santa cruz county.  ",1,1,1
"madalon witter to adjust lot line, at 2100 mcreynolds road, santa monica mountains, los angeles county.  ",10,10,10
"william bennett to fill 30-ft-wide 12-ft-high up to 7-ft-deep seacave at base of bluff below existing single-family home, with colored & textured erodible concrete mixture and riprap, at 265 pacific avenue, solana beach, san diego county.  ",7,5,7
"steve e. albert to demolish 2-story single-family home, and construct 2-story single-family home, at junipero avenue , carmel, monterey county.  ",1,1,1
"w m c development for new boat dock consisting of pier with 8'x4' walkway, 10'x14' platform, 3'x22' gangway, and 55'x5' float supported' by two 14-in-diameter t-piles, two 16-inch & one 14-inch guide piles, at 1705 east bay avenue, newport beach, orange county.   ",3,3,3
"heirs of harold guiton for 3,000 sq.ft. single-family home & 450 sq.ft. attached garage, at northwest corner of surf street & strand, oceano, san luis obispo county.  ",1,1,1
"emile smith to construct 1,957 sq.ft. 22-ft-high single-family home, detached 424 sq.ft. garage, 5,000 gallon water tank, septic system, stairway, driveway, water well, and retaining walls; remove 400 sq.ft. concrete foundation; and grade 5,553 cu.yds. of material, at 2595 las flores canyon road, malibu, los angeles county.  ",1,1,1
"claude & michelle yacoel, robert m. mcclory, oliver & jean clark, robert f. baron, lovena mettler, mark mcgwire, jack & margaret kao, albert & sharon appel, richard & iris schuster, bob & sarah faber, john d. brady, jr., joseph & janice goss, thomas & victoria hutton, gerson dealmeida, yung h. sun and jack m. grossman to replace parts of timber pile foundation supports with steel jacks, install 671 linear feet of sheet pile 1' 7' seaward of existing bulkhead, place 366 cu.yds. of rock against toe of seawall, mitigate 696.5 sq.ft. of impact to soft bottom bay habitat with 1393 sq.ft. of tidal mud flat at bolsa chica, and mitigate 640.9 sq.ft. of impact to eelgrass habitat with 769.1 sq.ft. of eelgrass near anaheim bay national wildlife refuge, at 16501 carousel lane, 16531 carousel lane, 16601 through 16721 carousel lane, huntington beach, orange county.  ",6,5,6
"albert richards trust to remove existing floating dock and replace with same-sized dock in same location, at 5743 corso di napoli, naples island, long beach, los angeles county.  ",3,3,3
"california department of fish & game & del norte county to periodically breach lake earl & lake talawa sand bar for flood control purposes during 1996-1997 & 1997-1998 rainy seasons  whenever lake elevation reaches 8 ft. above mean sea level, and breach on february 15 if lake elevation is 5 ft. or more above mean sea level at lake earl, del norte county.   ",7,7,7
"frances and kent small to demolish duplex and construct new 3,014 sq.ft., 3-story, 35-ft. high single-family home plus attached 417 sq.ft. 2-car garage, balconies, side yard hardscape improvements, no landscaping and minimal grading on a 1,707 sq.ft. beachfront lot, at 17089 & 17090 s. pacific ave., sunset beach, orange county.  ",1,1,1
"edward & connie l. berki to demolish single-family home and construct 30-ft-high 2,972 sq.ft. duplex on 2,720 sq.ft. lot, at 3315 ocean front walk, mission beach, san diego, san diego county.  ",1,1,1
"NAa-3-04-12  sheldon laube & nancy engel granted permit with conditions for 8,270 sq.ft. single-family home with 1,824 sq.ft. subterranean garage, including development within 100-ft. of environmentally sensitive habitat , 1,486 cu.yds. of grading, slopes over 30%, and lot line adjustment to consolidate two 2-acre lots, at 36240 highway 1, kasler point, ½ mile south of garrapata creek, big sur, monterey county.  ",1,1,1
"NA2-01-22-a-r  kathy & gerry cirincione-coles granted amendment with conditions november 14, 2001, to convert storage space into bedroom, bathroom & storage room, and add 120 sq.ft. of storage & stairway to existing structure, at 12990 sir francis drake blvd., inverness, marin county.  ",1,1,1
"kent & carol lieu for 18-ft-high 3,367 sq.ft. single-family home, garage, septic system, 2 water tanks, grading of 1,580 cu.yds. with remainder to be deposited outside coastal zone, and offer to dedicate trail easement, at 31157 anacapa view drive, malibu, los angeles county.  ",1,1,1
"ocean view estates, ltd. for 28-ft-high 6260 sq.ft. single-family home, attached garage, pool, septic system and 174 cu.yds. of grading, at 6283 cavalleri road, malibu, los angeles county.  ",1,1,1
"sierra pacific industries - arcata division sawmill for drainage improvements to treat log deck sprinkle water and stomwater runoff including retention basins, water collection swales, outfall, and creation of 5,360 sq.ft. of vegetated wetland for mitigation, at 2593 new navy base road, west of arcata, humboldt county.  ",7,7,7
"southern california edison company, san diego gas & electric co., city of anaheim and city of riverside for temporary used fuel storage facility for songs units 2 and 3, consisting of three concrete pads covering 25,550 sq.ft. and 104 steel-reinforced concrete fuel storage modules, at 5000 pacific coast highway, northern san diego county.  ",12,12,12
"e.m. brylor co. for 44-ft-high 5,814 sq.ft. single-family home with attached 3-car garage next to ballona lagoon, at 4115 roma ct., marina del rey, los angeles county.   ",1,1,1
"sonoma county water agency to manage mouth of russian river to address flooding and habitat issues in jenner, sonoma county.  ",7,7,7
"ja buza corp. for 45-ft-high 86-room 53,561 sq.ft. hotel, 333 subterranean and surface parking spaces, 4,800 sq.ft. restaurant & 7,700 sq.ft. restaurant, and 16 pump gas station with 1,500 sq.ft. food mart at northwest corner of cannon road & interstate 5, carlsbad, san diego county.  ",2,2,2
"janet & larry meltzer to construct 50-ft-long 6 to 8 ft-high retaining wall, remove and recompact 100 cu.yds. of slide material to repair slope, at 19871 grand view drive, topanga, los angeles county.  ",5,5,5
"monterey county dept. of public works to replace 1-lane bridge with 2-lane bridge, including 2 traffic lanes, bike lanes & sidewalk, at sandholdt road bridge, over old salinas river channel, moss landing harbor, monterey county. ",11,11,11
